Location,Lat,Lon,Count
"(34.1468, -118.3615)",34.1468,-118.3615,13
"(34.1712, -118.4003)",34.1712,-118.4003,1
"(34.1577, -118.368)",34.1577,-118.368,4
"(34.1493, -118.3652)",34.1493,-118.3652,6
"(34.1576, -118.4052)",34.1576,-118.4052,25
"(34.1604, -118.3965)",34.1604,-118.3965,2
"(34.1584, -118.3746)",34.1584,-118.3746,1
"(34.1687, -118.3877)",34.1687,-118.3877,7
"(34.1722, -118.381)",34.1722,-118.381,9
"(34.1758, -118.379)",34.1758,-118.379,11
"(34.1828, -118.3878)",34.1828,-118.3878,3
"(34.1649, -118.3621)",34.1649,-118.3621,11
"(34.1894, -118.3866)",34.1894,-118.3866,2
"(34.1361, -118.357)",34.1361,-118.357,28
"(34.1649, -118.3982)",34.1649,-118.3982,6
"(34.1758, -118.3834)",34.1758,-118.3834,24
"(34.1598, -118.3715)",34.1598,-118.3715,10
"(34.1649, -118.4094)",34.1649,-118.4094,4
"(34.1367, -118.3799)",34.1367,-118.3799,2
"(34.1867, -118.4117)",34.1867,-118.4117,20
"(34.1649, -118.3789)",34.1649,-118.3789,11
"(34.2039, -118.3703)",34.2039,-118.3703,5
"(34.1867, -118.4013)",34.1867,-118.4013,3
"(34.1794, -118.3951)",34.1794,-118.3951,7
"(34.1649, -118.3637)",34.1649,-118.3637,2
"(34.1831, -118.3867)",34.1831,-118.3867,16
"(34.1241, -118.3475)",34.1241,-118.3475,1
"(34.2067, -118.3878)",34.2067,-118.3878,15
"(34.1867, -118.3954)",34.1867,-118.3954,23
"(34.1681, -118.3743)",34.1681,-118.3743,10
"(34.2037, -118.421)",34.2037,-118.421,18
"(34.1795, -118.3741)",34.1795,-118.3741,6
"(34.2085, -118.3812)",34.2085,-118.3812,1
"(34.1767, -118.3817)",34.1767,-118.3817,2
"(34.1613, -118.3965)",34.1613,-118.3965,7
"(34.1394, -118.3675)",34.1394,-118.3675,11
"(34.2056, -118.4094)",34.2056,-118.4094,13
"(34.1722, -118.3844)",34.1722,-118.3844,10
"(34.1522, -118.3527)",34.1522,-118.3527,10
"(34.135, -118.3611)",34.135,-118.3611,34
"(34.2121, -118.4144)",34.2121,-118.4144,7
"(34.134, -118.345)",34.134,-118.345,13
"(34.1649, -118.4041)",34.1649,-118.4041,17
"(34.1985, -118.3878)",34.1985,-118.3878,9
"(34.1588, -118.379)",34.1588,-118.379,23
"(34.1499, -118.3635)",34.1499,-118.3635,17
"(34.1649, -118.3632)",34.1649,-118.3632,15
"(34.1758, -118.367)",34.1758,-118.367,3
"(34.1794, -118.3757)",34.1794,-118.3757,2
"(34.1393, -118.3702)",34.1393,-118.3702,3
"(34.1611, -118.3723)",34.1611,-118.3723,6
"(34.1762, -118.3615)",34.1762,-118.3615,12
